Coach_Name,Background,Offensive_Years,Defensive_Years
Tut Imlay,Other,0,0
Untz Brewer,Other,0,0
Urban Meyer,Offensive,12,2
Vance Joseph,Defensive,0,22
Vic Fangio,Defensive,0,40
Vince Lombardi,Offensive,5,0
Vince Tobin,Defensive,0,25
Wade Phillips,Defensive,0,39
Wally Hess,Other,0,0
Wally Lemm,Defensive,0,3
Wally McIlwain,Other,0,0
Walt Driskill,Other,0,0
Walt Kiesling,Other,0,0
Walt Koppisch,Other,0,0
Walt Michaels,Defensive,0,15
Wayne Brenkert,Other,0,0
Wayne Fontes,Defensive,0,13
Wayne Millner,Other,0,0
Weeb Ewbank,Offensive,1,0
Willie Wilkin,Other,0,0
Zac Taylor,Offensive,7,0
