,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Avg 2Y Win Pct,Coach Tenure Class
491,Mike Nolan,2005,46,0,5,0,0,7,11,0,0,,,,0.5455676527979086,0.6064407516020419,0.6721568671513054,,,,0.28125,0.46774193548387094,0.3064516129032258,0.4516129032258065,0.16666666666666669,0.0,0.0,0.34375,1
492,Mike Palm,1933,34,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.5,0
493,Mike Pettine,2014,48,0,0,0,0,4,5,0,0,,,,0.8580645161290323,0.6000000000000001,0.7419354838709677,,,,0.28125,0.43548387096774194,0.2096774193548387,0.3225806451612903,0.0,0.0,0.0,0.3125,0
494,Mike Riley,1999,46,0,5,6,2,0,0,0,0,,,,,,,,,,0.28125,0.08620689655172414,0.06896551724137934,0.37931034482758624,0.0,0.0,0.0,0.28125,1
495,Mike Shanahan,1988,36,0,1,6,0,1,3,0,0,0.7037037037037038,0.8148148148148149,0.7283950617283951,,,,,,,0.41666666666666663,0.2962962962962963,0.5,0.8703703703703705,0.25,0.0,0.0,0.34375,0
496,Mike Shanahan,1995,43,1,1,6,0,2,7,2,1,0.8095238095238095,0.8624338624338624,0.7777777777777778,,,,0.35185185185185186,0.46296296296296297,0.5185185185185185,0.5,0.42592592592592593,0.5925925925925926,0.5185185185185186,0.375,0.5,0.0,0.65625,3
497,Mike Shanahan,2010,58,2,1,6,0,2,7,16,1,0.8095238095238095,0.8624338624338624,0.7777777777777778,,,,0.759482501132946,0.6667575598401516,0.5402504840769579,0.375,0.3064516129032258,0.2903225806451613,0.5483870967741935,0.0,0.0,0.0,0.34375,1
498,Mike Sherman,2000,46,0,13,1,0,2,1,0,0,0.2666666666666667,0.6333333333333333,0.4,,,,,,,0.59375,0.40114942528735636,0.6632183908045977,0.6982758620689655,0.5,0.5,0.0,0.65625,2
499,Mike Singletary,2009,51,0,0,0,0,6,0,0,0,,,,,,,,,,0.375,0.04838709677419356,0.1935483870967742,0.14516129032258063,0.5,0.0,0.0,0.41666666666666663,0
500,Mike Smith,2008,49,0,5,11,0,4,5,0,0,,,,0.7935483870967742,0.7419354838709677,0.4903225806451613,,,,0.34375,0.7419354838709677,0.20967741935483875,0.3387096774193548,0.16666666666666669,0.0,0.0,0.625,2
501,Mike Tice,2001,42,0,0,0,0,5,0,0,0,,,,,,,,,,0.65625,0.14999999999999997,0.6333333333333333,0.5666666666666667,0.875,1.0,1.0,0.1875,2
502,Mike Tomlin,2007,35,0,5,0,0,5,1,0,0,,,,0.7741935483870968,0.5806451612903225,0.935483870967742,,,,0.59375,0.45161290322580644,0.7741935483870968,0.8709677419354839,0.5,0.5,2.0,0.6875,3
503,Mike Vrabel,2018,43,0,3,0,0,3,1,0,0,,,,0.3870967741935484,0.0,0.16129032258064513,,,,0.5625,0.3870967741935484,0.45161290322580644,0.4838709677419355,0.6666666666666667,0.5,0.5,0.5625,-1
504,Mike White,1995,59,0,6,8,14,7,0,0,0,,,,,,,,,,0.59375,0.2962962962962963,0.42592592592592593,0.5925925925925927,0.625,0.5,0.5,0.46875,0
505,Mike Zimmer,2014,58,0,0,11,0,5,14,0,0,,,,0.6688940092165899,0.5314900153609831,0.4968509984639017,,,,0.484375,0.3064516129032258,0.45161290322580644,0.25806451612903225,0.33333333333333337,0.5,0.0,0.5625,-1
506,Milan Creighton,1935,27,0,0,0,0,0,0,0,0,,,,,,,,,,0.2954545454545454,0.4111111111111111,0.3666666666666667,0.3611111111111111,0.2,0.0,0.0,0.4375,1
507,Monte Clark,1976,39,0,0,0,0,5,1,0,0,0.6,0.92,0.64,,,,,,,0.39285714285714285,0.22000000000000003,0.45999999999999996,0.52,0.6666666666666667,0.0,0.0,0.5714285714285714,0
508,Monte Clark,1978,41,1,0,0,0,5,1,1,0,0.6,0.92,0.64,,,,0.5925925925925926,0.6666666666666667,0.2222222222222222,0.42857142857142855,0.7037037037037037,0.4444444444444444,0.48148148148148145,0.4166666666666667,0.0,0.0,0.28125,2
509,Ned Mathews,1946,28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.5,0
510,Neill Armstrong,1978,52,0,0,0,0,3,7,0,0,,,,0.7777777777777778,0.8455026455026455,0.6438095238095238,,,,0.5714285714285714,0.7407407407407407,0.4814814814814815,0.5740740740740741,0.7083333333333334,0.5,0.0,0.53125,1
511,Nelson Talbot,1920,28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.5833333333333333,0
512,Nick Saban,2005,54,0,8,5,11,2,4,0,0,,,,0.5648148148148148,0.6481481481481481,0.4814814814814815,,,,0.4375,0.40322580645161293,0.41935483870967744,0.3225806451612903,0.33333333333333337,0.0,0.0,0.46875,0
513,Nick Skorich,1961,40,0,0,0,1,7,0,0,0,,,,,,,,,,0.7083333333333334,0.9128787878787878,0.5984848484848485,0.4356060606060606,0.9,0.5,0.5,0.48214285714285715,1
514,Nick Skorich,1971,50,1,0,0,1,11,3,3,1,0.8088888888888889,0.7511111111111112,0.5866666666666666,,,,0.358974358974359,0.3846153846153846,0.15384615384615383,0.625,0.45333333333333337,0.6466666666666667,0.52,0.8333333333333334,0.5,0.5,0.6785714285714286,1
515,Norb Hecker,1966,39,0,0,0,0,7,0,0,0,,,,,,,,,,,,,,,0.0,0.0,0.1607142857142857,1
516,Norm Barry,1925,28,0,0,0,0,0,0,0,0,,,,,,,,,,0.6083333333333334,1.0,0.7678018575851393,1.0,0.6625386996904026,0.0,0.0,0.6398809523809523,0
517,Norm Van Brocklin,1961,35,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0.0,0.0,0.19642857142857142,2
518,Norm Van Brocklin,1968,42,1,0,0,0,0,0,6,0,,,,,,,0.45054945054945056,0.3406593406593406,0.42124542124542125,0.1607142857142857,0.14047619047619048,0.0357142857142857,0.0,0.07142857142857145,0.0,0.0,0.3051948051948052,2
519,Norv Turner,1994,42,0,8,1,0,6,3,0,0,0.8271604938271605,0.9012345679012347,0.8765432098765432,,,,,,,0.40625,0.7222222222222223,0.37037037037037035,0.35185185185185186,0.25,0.5,0.5,0.28125,2
520,Norv Turner,2004,52,1,8,1,0,6,6,7,1,0.659099960175229,0.7332337714058145,0.6235762644364795,,,,0.45110381317277876,0.45790914066776134,0.5599708082466702,0.46875,0.6612903225806452,0.5645161290322581,0.5161290322580645,0.6666666666666667,0.5,1.0,0.28125,0
521,Norv Turner,2007,55,2,8,1,0,6,7,9,1,0.5925925925925926,0.665352449223417,0.575968595323434,,,,0.39028504465409664,0.3812411595874703,0.49646475050009836,0.71875,0.5806451612903226,0.9032258064516129,0.903225806451613,0.6666666666666667,0.5,0.0,0.59375,2
522,Ollie Kraehe,1923,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.2857142857142857,0
